id,third_party,manifest,source_code,stop_share,link,RAG
63,Forter,no,no,no,https://docs.forter.com/docs/mobile-sdks-overview,
64,New Relic,no,yes,yes,https://docs.newrelic.com/docs/mobile-monitoring/new-relic-mobile/mobile-sdk/configure-settings/,done
65,Usabilla ,no,no,no,https://github.com/usabilla/usabilla-u4a-android-sdk,
66,Mixpanel ,yes,yes,yes,https://docs.mixpanel.com/docs/tracking-methods/sdks/android#privacy-friendly-tracking,done
67,MobileFuse,no,yes,yes,https://docs.mobilefuse.com/docs/android-sdk-data-privacy,done
68,chartbeat,no,yes,yes,https://docs.chartbeat.com/cbp/tracking/mobile-app-sdks/android-sdk#ip-truncation,done
69,RevenueCat,no,no,no,https://www.revenuecat.com/docs/platform-resources/google-platform-resources/google-plays-data-safety,
70,truecaller,no,no,no,https://www.truecaller.com/privacy/gdpr,
71,swrve ,yes,yes,yes,"https://docs.swrve.com/developer-documentation/integration/android/
https://docs.swrve.com/developer-documentation/integration/user-acquisition-tracking-guide/",done
72,ByteDance OpenAds,no,no,no,https://github.com/bytedance/tiktok-business-android-sdk,
73,Adobe,no,yes,yes,"https://developer.adobe.com/client-sdks/resources/privacy-and-gdpr/
https://developer.adobe.com/client-sdks/previous-versions/documentation/privacy-and-gdpr/",done
74,Radar,no,no,no,https://docs.radar.com/sdk/android,
75,Naver ,no,yes,yes,https://naver.github.io/nam-sdk-guide/en/android/advanced/global_privacy/,done
76,Nuance,no,no,no,https://docs-sdk-android.nod-glb.nuance.com/dcapi.html,
77,Adyen ,no,yes,yes,https://docs.adyen.com/online-payments/analytics-and-data-tracking/?tab=android_2_3#configure,done
78,HyprMX (Amazon),no,yes,yes,https://documentation.hyprmx.com/android-sdk/getting-started/privacy,done
79,Blueshift ,no,yes,yes,https://developer.blueshift.com/docs/get-started-with-the-android-sdk,done
80,optimizely,no,yes,yes,https://docs.developers.optimizely.com/feature-experimentation/docs/implement-a-user-profile-service-android#no-op-in-android,done
81,AppBrain ,no,no,no,https://www.appbrain.com/info/help/privacy/index.html,
82,SuperAwesome,no,no,no,https://sdks.superawesome.com/docs/data-collection,
83,inmobi ,no,no,no,https://support.inmobi.com/monetize/data-identity/unifid/unifid-sample-android-integration,
84,Tappx,no,no,no,https://www.tappx.com/docs/android/privacy-compliance,
85,Leanplum,no,no,no,https://docs.leanplum.com/reference/tracking-monetization-events,
86,LaunchDarkly,no,no,no,https://launchdarkly.com/docs/sdk/features/app-config#expand-android-code-sample,
87,Datadog,no,no,no,https://docs.datadoghq.com/data_security/logs/,
88,Chartboost,no,yes,yes,https://docs.chartboost.com/en/monetization/integrate/android/sdk-privacy-methods/,done
89,Agora,no,no,no,https://docs.agora.io/en/agora-analytics/reference/security,
90,MParticle,no,yes,yes,https://docs.mparticle.com/developers/client-sdks/android/opt-out/,done
91,UXCam,no,yes,yes,https://developer.uxcam.com/docs/opt-in-opt-out,done
92,Bitmovin,no,no,no,https://developer.bitmovin.com/playback/docs/getting-started-android,
93,LogRocket,no,yes,yes,https://docs.logrocket.com/reference/android-redact-view,done
94,ACRA,yes,yes,yes,https://www.acra.ch/docs/AdvancedUsage,done
95,Smartlook,yes,yes,yes,https://mobile.developer.smartlook.com/reference/android-sensitive-data-hiding#sensitivity,done
96,Validic ,no,no,no,https://helpdocs.validic.com/docs/android-native-sdk,
97,StartApp,no,no,no,https://support.start.io/hc/en-us/articles/4413793394962-Google-Play-Safety-Section-Data-Disclosure#data_collected_and_shared_automatically,
98,Notifee,no,no,no,https://notifee.app/react-native/docs/android/introduction,
99,BidMachine,no,no,no,https://docs.bidmachine.io/docs/app-privacy-details-on-the-google-play,
100,Singular,no,yes,yes,https://support.singular.net/hc/en-us/articles/35834486657691-Data-Privacy?navigation_side_bar=true,done
101,Contentsquare ,no,yes,yes,https://docs.contentsquare.com/en/android/privacy/,done
102,Appodeal,no,no,no,https://docs.appodeal.com/android/data-protection/app-privacy-details,
103,Optimove,no,no,no,https://docs.appodeal.com/android/data-protection/app-privacy-details,
104,Lokalise,no,no,no,https://developers.lokalise.com/docs/android-sdk-v2#user-privacy,
105,Localytics,no,yes,yes,https://help.uplandsoftware.com/localytics/dev/android.html#privacy,done
106,Pushy,no,no,no,https://pushy.me/docs/android/create-app,
107,CustomerIO,no,yes,yes,https://docs.customer.io/sdk/android/tracking/identify/,done
108,Freshchat,no,no,no,https://developers.freshchat.com/mobile/#getting-started,
109,Survicate,no,no,no,https://developers.survicate.com/mobile-sdk/android/,
110,Sinch,no,no,no,https://developers.sinch.com/docs/in-app-calling/android-cloud/,
111,Adapty,no,no,no,https://adapty.io/docs/google-play-data-safety#data-usage-and-handling,
112,CometChat,no,no,no,https://www.cometchat.com/docs/sdk/android/setup,
113,blitzllama,no,no,no,https://documentation.blitzllama.com/sdk/android,
114,Cybersource,no,no,no,https://developer.cybersource.com/docs/nab/en-us/payer-auth/developer/all/rest/payer-auth/pa-sdk-intro/pa-sdk-android-intro.html,
115,Rollbar,no,no,no,https://docs.rollbar.com/docs/security,
116,HERE,no,no,no,https://www.here.com/docs/bundle/sdk-for-android-explore-developer-guide/page/README.html,
117,Heytap Push,no,no,no,https://muc.heytap.com/document/heytap/accountPolicyUpdate/accountSDK/privacyPolicySdk_en-US.html#policy_2,
118,Matomo,no,no,no,https://matomo.org/blog/2020/01/your-introduction-to-personally-identifiable-information-what-is-pii/#elementor-toc__heading-anchor-0,
119,Dexcom,no,no,no,https://developer.dexcom.com/docs/,
120,Vuforia ,no,no,no,https://developer.vuforia.com/library/vuforia-engine/data-security/vuforia-engine-data-security/,
121,Appier,no,no,no,https://docs.aps.appier.com/docs/sdk,
122,Sailthru,no,yes,yes,https://sdkdevelopers.meetmarigold.com/docs/collecting-user-data,done
123,Klaviyo,no,no,no,https://developers.klaviyo.com/en/reference/data_privacy_api_overview,
124,Parse,no,no,no,https://docs.parseplatform.org/android/guide/#analytics,
